service,subject,description,urgency
order tracking,Where is my order?,package???,low
order tracking,Tracking hasn't updated,The tracking number is not recognized by the carrier. The problem happens on both desktop and mobile. I need this fixed today because I cannot continue.,high
order tracking,Still broken: Tracking link is broken,"I've already wasted too much time on this. The package has been marked 'in transit' in the same location for days. I'm using Chrome on Windows 11. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. Could someone look into this today if possible? Reference: order/account details can be provided if needed. Can someone sort this out?",medium
search,Filters not working,"The results page reloads whenever I scroll down. I'm using Chrome on Windows 11. I can wait a little, but I do need this resolved.",medium
payments,Payment declined but card is valid,"The payment has been showing as pending since yesterday. This happens in Safari on my iPhone. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. Could someone look into this today if possible?",medium
payments,Payment issue,card issue,high
payments,Charged twice for one order,"The card was charged, but I never received an order number or confirmation.",low
checkout,Checkout problem,can't buy anything,medium
payments,Refund not received,I've tried this several times and it's getting frustrating. Apple Pay closes after Face ID and returns me to the payment page. This happens in Safari on my iPhone.,medium
order tracking,Wrong tracking number,I've already retried a few times with no luck. The tracking number is not recognized by the carrier. I reproduced it twice this morning.,medium
checkout,Cart resets at checkout,"Could someone please take a look? The page spins forever after I click Place order. I reproduced it twice this morning. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. This is preventing me from using the service. Thanks.",high
checkout,Stuck on checkout page,can't buy anything,high
checkout,Order issue,can't buy anything,medium
checkout,Promo code breaks checkout,"Just reporting something I ran into. My shipping address is valid but the form keeps saying it cannot be verified. I reproduced it twice this morning. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. This is preventing me from using the service. Reference: order/account details can be provided if needed.",high
notification,Shipping email has wrong info,"The email says my order was cancelled, but the order page says it has shipped. The problem happens on both desktop and mobile. Steps: place or update an order, wait for the normal email/SMS notification, then check notification settings; nothing relevant arrives. I can wait a little, but I do need this resolved.",medium
checkout,Can't place my order,checkout is broken,medium
search,Product missing from search,I'm a bit confused by what the site is showing me. Changing the sort order clears the filters I already selected.,medium
order tracking,Tracking issue,tracking is wrong,medium
notification,Can't turn off marketing emails,"Hello, I wanted to report a problem. I receive the same shipping notification three or four times. This started after the latest app update.",medium
search,Can't find an item I bought before,"A product I can open from my order history does not appear in search. I have not changed any account settings recently. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
notification,Can't turn off marketing emails,"just reporting something i ran into. the email says my order was cancelled, but the order page says it has shipped.",high
payments,Charged twice for one order,"I've tried this several times and it's getting frustrating. The refund is marked completed in my account, but the money is not back on my card. I tried both Wi-Fi and mobile data.",high
search,Product missing from search,"Hi, I noticed an issue. The results page reloads whenever I scroll down. This started after the latest app update. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. This is blocking my purchase and I need help as soon as possible.",high
order tracking,Tracking hasn't updated,"I don't understand what is happening. The tracking page has shown the same status for several days. I can wait a little, but I do need this resolved.",medium
order tracking,Delivery date keeps changing,no update on delivery,high
login,2FA code never arrives,"Hi, I noticed an issue. I requested the two-factor code several times and nothing has arrived. This happens in Safari on my iPhone. I can wait a little, but I do need this resolved.",medium
checkout,Promo code breaks checkout,This keeps happening and I'm running out of things to try. Applying a discount code makes the checkout page reload and lose my details.,low
order tracking,Tracking link is broken,"The tracking page has shown the same status for several days. I already cleared cookies and tried again. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. This is blocking my purchase and I need help as soon as possible.",high
payments,Charged twice for one order,"The refund is marked completed in my account, but the money is not back on my card. I'm using Chrome on Windows 11. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. It's inconvenient and I haven't been able to finish what I was trying to do. Reference: order/account details can be provided if needed.",medium
payments,Payment declined but card is valid,"I can see two identical charges for the same purchase. This started after the latest app update. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can work around it for now. Reference: order/account details can be provided if needed.",low
checkout,Cart resets at checkout,Just reporting something I ran into. There is no delivery method available even though you normally ship to my postcode. I already cleared cookies and tried again. Could someone look into this today if possible?,medium
order tracking,Package stuck in transit,I'm seeing a consistent problem with this. The tracking page has shown the same status for several days. Could someone look into this today if possible?,medium
notification,Notifications,emails not working,low
checkout,Promo code breaks checkout,checkout not working pls fix,medium
payments,Payment declined but card is valid,"Could someone please take a look? The refund is marked completed in my account, but the money is not back on my card. I have not changed any account settings recently. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. I can work around it for now. Reference: order/account details can be provided if needed. Thanks.",low
checkout,Order issue,checkout not working pls fix,high
notification,SMS alerts not arriving,"I'm getting very annoyed with this. too many alerts I need an actual answer, not a generic response.",medium
payments,Refund not received,"Hi, could you please help me with this? The card was charged, but I never received an order number or confirmation. I already cleared cookies and tried again. Could someone look into this today if possible? Thanks.",medium
login,Login issue,why am I locked out?,medium
payments,Payment pending for too long,I've tried this several times and it's getting frustrating. card issue,medium
payments,Refund not received,"Maybe I'm missing something, but this doesn't make sense. The refund is marked completed in my account, but the money is not back on my card. I have not changed any account settings recently. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. Could someone look into this today if possible?",medium
payments,Wrong amount charged,This keeps happening and I'm running out of things to try. Apple Pay closes after Face ID and returns me to the payment page. It worked normally yesterday. Could someone look into this today if possible?,medium
login,Again: Login issue on mobile,"This should not be this difficult. The password reset link opens, but after setting a new password I still cannot log in. I'm using Chrome on Windows 11. It's inconvenient and I haven't been able to finish what I was trying to do. I need an actual answer, not a generic response.",medium
login,Can't sign in,"I'm seeing a consistent problem with this. Login works in the browser but not in the mobile app. I'm using Chrome on Windows 11. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. Could someone look into this today if possible?",medium
notification,Getting duplicate notifications,"Hi, could you please help me with this? Push notifications used to work and stopped without me changing any settings. The problem happens on both desktop and mobile. I need this fixed today because I cannot continue. Thanks.",high
order tracking,No tracking information available,Could someone please take a look? The tracking page has shown the same status for several days. Thanks.,medium
login,Can't sign in,"This should not be this difficult. I requested the two-factor code several times and nothing has arrived. This started after the latest app update. This is preventing me from using the service. I need an actual answer, not a generic response.",high
order tracking,No tracking information available,Just reporting something I ran into. The tracking number is not recognized by the carrier.,medium
login,Can't sign in,"The password reset link opens, but after setting a new password I still cannot log in. This happens in Safari on my iPhone. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
payments,Apple Pay failed,"The card was charged, but I never received an oder number or confirmation.",high
notification,Push notifications stopped,"Just reporting something I ran into. I receive the same shipping notification three or four times. The problem happens on both desktop and mobile. I can wait a little, but I do need this resolved.",medium
notification,Can't turn off marketing emails,"The order appears in my account, but I never received the confirmation email.",high
order tracking,Tracking hasn't updated,"Hi, could you please help me with this? Your site says the package was delivered, but nothing was delivered to my address. I reproduced it twice this morning. I need someone to investigate this immediately. Thanks.",critical
notification,Still broken: Push notifications stopped,"Seriously, what is going on? I disabled marketing emails, but I am still receiving them. I'm using Chrome on Windows 11. I can wait a little, but I do need this resolved. This has happened more than once.",medium
notification,Wrong notification sent,"I'm getting very annoyed with this. The email says my order was cancelled, but the order page says it has shipped. I reproduced it twice this morning. Could someone look into this today if possible? Please fix this.",medium
order tracking,No tracking information available,"The tracking number is not recognized by the carrier. It worked normally yesterday. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. Could someone look into this today if possible? Reference: order/account details can be provided if needed.",medium
login,Login issue on mobile,"Login works in the browser but not in the mobile app. I have not changed any account settings recently. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. I need someone to investigate this immediately. Reference: order/account details can be provided if needed.",critical
payments,Apple Pay failed,"Could someone please take a look? My bank shows the payment as approved, but your site says it was declined. I have not changed any account settings recently. I can work around it for now. Thanks.",low
login,Login keeps failing,"I'm seeing a consistent problem with this. The password reset link opens, but after setting a new password I still cannot log in. I already cleared cookies and tried again. Could someone look into this today if possible?",medium
login,Password reset not working,"The password reset link opens, but after setting a new password I still cannot log in. This started after the latest app update. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. No rush, but please check when possible. Reference: order/account details can be provided if needed.",low
login,Password reset not working,"Hi, I noticed an issue. The account says it is locked even though I only tried to sign in once today. I tried both Wi-Fi and mobile data. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. This is preventing me from using the service. Reference: order/account details can be provided if needed.",high
payments,Wrong amount charged,"The refund is marked completed in my account, but the money is not back on my card. This is blocking my purchase and I need help as soon as possible.",high
checkout,Address rejected during checkout,"Maybe I'm missing something, but this doesn't make sense. Applying a discount code makes the checkout page reload and lose my details. I have not changed any account settings recently. This is preventing me from using the service.",high
login,Unable to access my account,"The password reset link opens, but after setting a new password I still cannot log in. The problem happens on both desktop and mobile. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. No rush, but please check when possible. Reference: order/account details can be provided if needed.",low
order tracking,No tracking information available,"Hello, I hope you can help. Your order page and the carrier page show different delivery statuses. This is blocking my purchase and I need help as soon as possible. Thanks.",high
search,Filters not working,"This keeps happening and I'm running out of things to try. Changing the sort order clears the filters I already selected. I reproduced it twice this morning. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. Please treat this as urgent; I am completely blocked.",critical
payments,Card charged but order not created,"I can see two identical charges for the same purchase. No rush, but please check when possible.",low
checkout,Checkout button does nothing,"Hello, I wanted to report a problem. I can add products to the cart, but the checkout button does not move to the next step. I also tried from another browser.",medium
notification,Can't turn off marketing emails,"I don't understand what is happening. The email says my order was cancelled, but the order page says it has shipped. I'm using Chrome on Windows 11. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
payments,Refund not received,"I've tried this several times and it's getting frustrating. The refund is marked completed in my account, but the money is not back on my card. I also tried from another browser. Could someone look into this today if possible?",medium
search,Filters not working,"Just reporting something I ran into. The category filter is selected, but products from other categories are still shown. This started after the latest app update. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. I can wait a little, but I do need this resolved. Reference: order/account details can be provided if needed.",medium
payments,Card charged but order not created,"Maybe I'm missing something, but this doesn't make sense. The refund is marked completed in my account, but the money is not back on my card. I have not changed any account settings recently. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. This is preventing me from using the service.",high
checkout,Address rejected during checkout,The cart becomes empty as soon as I reach the payment step.,medium
checkout,Stuck on checkout page,"I've already retried a few times with no luck. My shipping address is valid but the form keeps saying it cannot be verified. I have not changed any account settings recently. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. This is blocking my purchase and I need help as soon as possible. Reference: order/account details can be provided if needed.",high
checkout,Stuck on checkout page,"Hello, I hope you can help. There is no delivery method available even though you normally ship to my postcode. I already cleared cookies and tried again. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. Could someone look into this today if possible? Reference: order/account details can be provided if needed. Thanks.",medium
payments,Payment page error,I think I got charged wrong,low
search,Search returns no results,"Seriously, what is going on? Search takes around 20 seconds before showing results. I already cleared cookies and tried again. Steps: open search, enter the product name, apply a category filter, then sort by price; the results become inconsistent. No rush, but please check when possible. Reference: order/account details can be provided if needed. I need an actual answer, not a generic response.",low
search,Search page keeps reloading,I'm not sure if I'm doing something wrong. Search takes around 20 seconds before showing results. I already cleared cookies and tried again. This is blocking my purchase and I need help as soon as possible.,high
checkout,Cart resets at checkout,"Hi team, I'm having an issue and would appreciate some help. I can add products to the cart, but the checkout button does not move to the next step. The problem happens on both desktop and mobile. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. It's inconvenient and I haven't been able to finish what I was trying to do. Thanks.",medium
payments,Charged twice for one order,payment problem,critical
payments,Charged twice for one order,"I don't understand what is happening. Apple Pay closes after Face ID and returns me to the payment page. I'm using Chrome on Windows 11. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. It's inconvenient and I haven't been able to finish what I was trying to do.",medium
checkout,Promo code breaks checkout,"Could someone please take a look? I can add products to the cart, but the checkout button does not move to the next step. The problem happens on both desktop and mobile. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I can work around it for now. Thanks.",low
notification,Push notifications stopped,I receive the same shipping notification three or four times. This is preventing me from using the service.,high
payments,Charged twice for one order,"Hi team, I'm having an issue and would appreciate some help. My bank shows the payment as approved, but your site says it was declined. I already cleared cookies and tried again. Steps: choose the saved card, confirm the payment, wait for authorization, then the site reports an error even though the bank shows activity. This is urgent because money/order access is affected and I need immediate assistance. Reference: order/account details can be provided if needed. Thanks.",critical
login,Login keeps failing,"The password reset link opens, but after setting a new password I still cannot log in. This happens in Safari on my iPhone. This is preventing me from using the service.",high
login,Signed out every time I refresh,"Could someone please take a look? I get an 'unexpected error' immediately after pressing Sign in. I'm using Chrome on Windows 11. Steps: open the sign-in page, enter my email and password, press Sign in, then the page reloads without logging me in. It's not blocking me right now, but I wanted to report it. Reference: order/account details can be provided if needed. Thanks.",low
checkout,URGENT: Stuck on checkout page,"This should not be this difficult. Applying a discount code makes the checkout page reload and lose my details. I'm using Chrome on Windows 11. I need an actual answer, not a generic response.",medium
checkout,Promo code breaks checkout,"Hello, I hope you can help. The cart becomes empty as soon as I reach the payment step. This happens in Safari on my iPhone. Steps: add an item to cart, open checkout, enter shipping details, continue to the next step, then the page stops responding. I can wait a little, but I do need this resolved. Thanks.",medium
order tracking,Tracking link is broken,"The tracking link in the email opens a 404 page. It worked normally yesterday. Steps: open My Orders, select the order, open tracking, then compare the status with the carrier's tracking page. It's inconvenient and I haven't been able to finish what I was trying to do. Reference: order/account details can be provided if needed.",medium
order tracking,Wrong tracking number,This keeps happening and I'm running out of things to try. Your order page and the carrier page show different delivery statuses. I also tried from another browser. Could someone look into this today if possible?,medium
