"article_id","title","description","symptoms","apply_to","resolution","steps_to_fix"
"KB-0001","Reset a forgotten password","Use this article when a customer cannot sign in because they forgot their password or their current password is no longer accepted.","Customer cannot remember the password; login fails with invalid credentials; customer asks how to reset access.","login","Reset the password using the password-recovery flow and sign in again with the new credentials.","1. Open the Sign in page.
2. Select 'Forgot password'.
3. Enter the email address linked to the account.
4. Open the password-reset email.
5. Create a new password that meets the password requirements.
6. Return to the Sign in page and log in with the new password."
"KB-0002","Password reset email not received","Troubleshooting for customers who request a password reset but do not receive the reset email.","No reset email arrives; customer has requested several reset links; password-recovery flow appears successful but inbox remains empty.","login, notification","Verify the account email, check filtered folders, wait briefly, and request a single fresh reset email.","1. Confirm the email address is spelled correctly.
2. Check Spam, Junk, Promotions, and blocked-sender folders.
3. Wait up to 10 minutes before requesting another email.
4. Request one new password-reset email.
5. Use only the most recent reset link because older links may expire.
6. If no email arrives, contact support to verify the account email."
"KB-0003","Account temporarily locked","Explains how to recover an account that has been temporarily locked after multiple unsuccessful sign-in attempts.","Message says account is locked; login is blocked after repeated attempts; correct credentials are rejected immediately.","login","Wait for the temporary lock to expire, then reset the password if the customer is unsure of the credentials.","1. Stop attempting to sign in for 15 minutes.
2. After 15 minutes, retry once with the known password.
3. If the password is uncertain, use 'Forgot password'.
4. Complete the reset flow and sign in with the new password.
5. If the account remains locked after 30 minutes, contact support."
"KB-0004","Two-factor code not received","Troubleshooting for missing email or SMS verification codes during sign-in.","2FA code does not arrive; verification screen remains blocked; customer repeatedly requests a code.","login, notification","Verify the destination, avoid repeated resend attempts, and use the latest verification code.","1. Confirm the masked phone number or email shown on screen is correct.
2. Check SMS filtering or email Spam/Junk folders.
3. Wait two minutes before selecting 'Resend code'.
4. Request only one new code.
5. Enter the most recently received code.
6. If the destination is outdated or inaccessible, contact support to recover the account."
"KB-0005","Two-factor code rejected","Use when the verification code arrives but is shown as invalid or expired.","Customer receives a code but it fails; multiple codes were requested; code expires before it can be entered.","login","Generate a new code and use only the most recently issued code before it expires.","1. Return to the verification screen.
2. Select 'Resend code' once.
3. Wait for the new code to arrive.
4. Ignore any previously received codes.
5. Enter the newest code immediately.
6. Check that the device date and time are set automatically."
"KB-0006","Login page keeps reloading","Browser troubleshooting for a sign-in page that loops back to itself or refreshes after authentication.","Sign in appears successful but returns to login; page refreshes endlessly; user is signed out immediately.","login","Remove stale session data and retry with cookies enabled.","1. Close all E-Shop tabs.
2. Clear cookies and site data for the E-Shop domain.
3. Make sure browser cookies are enabled.
4. Disable aggressive privacy or script-blocking extensions for the site.
5. Open a new browser window and sign in again.
6. If the issue persists, test in another supported browser."
"KB-0007","Login fails in mobile app","Troubleshooting when the same account works on the website but not in the mobile application.","Web login succeeds; mobile app login fails; app reports an unexpected error.","login","Refresh the app session and ensure the customer is using the latest app version.","1. Confirm the same credentials work on the website.
2. Force-close the mobile app.
3. Check for an app update and install it.
4. Restart the phone.
5. Open the app and sign in again.
6. If needed, remove and reinstall the app."
"KB-0008","Unexpected login error","General steps for an unexpected or generic error displayed during sign-in.","Message such as 'Something went wrong' or 'Unexpected error'; no specific credential error is displayed.","login","Retry from a clean session and a supported browser or network.","1. Refresh the page once.
2. Open the site in a private/incognito window.
3. Disable VPN or proxy temporarily if one is in use.
4. Try another supported browser.
5. Try another network if available.
6. If the error continues, contact support with the approximate time of the attempt."
"KB-0009","Email address not recognized","Use when the sign-in or password reset form says no account exists for an email address.","Customer believes they have an account but email is not recognized; password reset says account not found.","login","Confirm the account was created with the same email address or sign-in provider.","1. Check for common spelling mistakes in the email address.
2. Try any alternate email address that may have been used.
3. If the account was created with Google, Apple, or another provider, use that sign-in method.
4. Search previous E-Shop order emails to identify the account address.
5. If the address is still unknown, contact support with a previous order number."
"KB-0010","Session expires too quickly","Troubleshooting when customers are repeatedly signed out during normal use.","Customer is logged out after a short time; cart or account session disappears; page asks to sign in repeatedly.","login, checkout","Ensure browser storage is permitted and remove extensions or settings that delete cookies automatically.","1. Enable cookies for the E-Shop website.
2. Disable settings that delete site data when the browser closes.
3. Temporarily disable privacy extensions for the site.
4. Clear old site data and sign in again.
5. Avoid using private browsing for long shopping sessions.
6. Test again in a standard browser window."
"KB-0011","Change account email","Explains how a signed-in customer can update the email address used for the E-Shop account.","Customer wants to use another email; old email will be deactivated; notifications go to the wrong address.","login, notification","Update the email from account settings and complete verification of the new address.","1. Sign in to the E-Shop account.
2. Open Account settings.
3. Select Email or Contact information.
4. Enter the new email address.
5. Confirm the change using the verification message sent to the new address.
6. Sign out and sign in again using the new email if requested."
"KB-0012","Browser sign-in requirements","Basic browser requirements that can prevent authentication from completing normally.","Sign-in button does nothing; blank page after sign in; authentication works on one browser but not another.","login","Use a current supported browser with JavaScript and cookies enabled.","1. Update the browser to the latest available version.
2. Enable JavaScript.
3. Enable first-party cookies for the E-Shop site.
4. Disable content blockers for the sign-in page.
5. Reload the page.
6. Retry sign in."
"KB-0013","Checkout button does nothing","Troubleshooting when the customer selects Checkout or Continue but the page does not advance.","Button appears clickable but nothing happens; loading spinner never finishes; customer cannot reach payment.","checkout","Refresh checkout state and remove browser-side causes.","1. Confirm all required cart selections are complete.
2. Refresh the checkout page.
3. Check that required address fields are filled in.
4. Disable browser extensions that block scripts.
5. Retry in a private/incognito window.
6. If needed, try another supported browser."
"KB-0014","Cart empties during checkout","Use when products disappear from the cart while moving between cart and checkout.","Cart becomes empty; items vanish after sign in; checkout reports there are no products.","checkout, login","Restore the shopping session and rebuild the cart after signing in.","1. Sign in before adding the products again.
2. Return to the cart and verify the items are present.
3. Remove duplicate browser tabs containing older carts.
4. Clear E-Shop cookies if the cart keeps resetting.
5. Add the products again.
6. Proceed directly to checkout."
"KB-0015","Shipping address rejected","Guidance for valid addresses that the checkout form cannot verify.","Address is marked invalid; Continue button remains disabled; postal code or apartment number is rejected.","checkout","Enter the address in the expected postal format and remove unsupported characters.","1. Enter the recipient's full name.
2. Use the official street name and house number.
3. Put apartment, unit, or building information in Address line 2.
4. Verify city, state/region, and postal code.
5. Remove emojis or unusual punctuation.
6. Select a suggested standardized address if one is offered."
"KB-0016","No shipping option available","Use when checkout shows no delivery methods for an otherwise valid cart and address.","Delivery section is empty; message says no shipping methods; customer previously received deliveries to the same area.","checkout, order tracking","Revalidate the address and check whether a cart item has delivery restrictions.","1. Re-enter the shipping postal code.
2. Confirm the destination country is correct.
3. Review the cart for oversized, restricted, or marketplace items.
4. Temporarily remove suspect items and refresh delivery options.
5. Add items back one at a time to identify any restriction.
6. If no method appears for a normal item, contact support."
"KB-0017","Promo code not accepted","Troubleshooting for coupons or promotion codes rejected during checkout.","Code says invalid, expired, not applicable, or already used; expected discount is missing.","checkout","Confirm eligibility and enter the promotion exactly as provided.","1. Copy the promotion code without extra spaces.
2. Check the promotion validity dates.
3. Check minimum-spend requirements.
4. Verify that the products in the cart are eligible.
5. Remove other promotions if codes cannot be combined.
6. Apply the code again before placing the order."
"KB-0018","Promo code breaks checkout","Use when checkout reloads, freezes, or loses customer data after a promotion is applied.","Checkout page reloads; address or payment fields disappear; cart changes after applying a code.","checkout","Remove the promotion, refresh checkout, and apply it again only after the cart is stable.","1. Remove the promotion code.
2. Refresh the cart page.
3. Confirm item quantities and subtotal.
4. Proceed to checkout and enter shipping information.
5. Apply the promotion once.
6. If the issue returns, complete the order without the code and contact support about the promotion."
"KB-0019","Place order spins forever","Troubleshooting when the final order submission remains in a loading state.","Spinner never finishes; Place order remains disabled; customer is unsure whether the order was created.","checkout, payments","Check for an existing order before retrying to avoid duplicate payment attempts.","1. Do not press Place order repeatedly.
2. Wait up to two minutes.
3. Open My Orders in a separate tab and check for a new order.
4. Check email for an order confirmation.
5. If an order exists, do not retry payment.
6. If no order exists, refresh checkout and try once more."
"KB-0020","Checkout page keeps reloading","General browser troubleshooting for a checkout page that reloads or returns to an earlier step.","Checkout loops between steps; page refreshes after entering data; customer cannot reach confirmation.","checkout","Clear stale checkout data and retry in one browser tab.","1. Close duplicate E-Shop tabs.
2. Clear E-Shop site data and cookies.
3. Sign in again.
4. Rebuild the cart.
5. Proceed through checkout using a single tab.
6. If necessary, use another supported browser."
"KB-0021","Billing address mismatch","Use when payment cannot continue because the billing address does not match card details.","Payment form reports address mismatch; card is valid elsewhere; checkout returns to billing details.","checkout, payments","Enter the billing address exactly as recorded by the card issuer.","1. Select the correct country for the billing address.
2. Enter the cardholder name as shown on the card.
3. Use the billing street address registered with the bank.
4. Verify postal code carefully.
5. If shipping and billing addresses differ, disable 'Same as shipping'.
6. Retry the payment once."
